sr_No,Ticker,Company,sector,industry,country,market_Cap,P_E_Ratio,Price,Change,Volume,P_S_Ratio,P_B_Ratio,P_C_Ratio,Dividend,ROA,ROE,ROI,Debt_Eq,Outstanding,Float,Insider_Own,Insider_Trans,Inst_Own,Inst_Trans,Float_Short,Short_Ratio,Perf_Week,Perf_Month,Perf_Quart,Perf_Half,Perf_Year,Perf_YTD,Volatility_Week,Volatility_Month,Recom,Beta,ATR,SMA20,SMA50,SMA200,52W_High,52W_Low,RSI,Price
63,BEN,Franklin Resources Inc.,Financial,Asset Management,USA,24.46B,13.93,42.79,-0.0056,1899957,3.83,1.92,2.78,0.0187,10.60%,14.60%,-,0.12,571.62M,327.75M,0.001,-0.1146,0.467,0.0048,0.0316,4.64,-0.0021,-0.044,-0.0184,-0.0044,0.2792,0.0811,0.0147,0.0143,3.2,1.77,0.66,-0.0308,-0.015,-0.0051,-0.102,0.2881,42.15,42.79
64,BF-B,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,21.61B,30.76,55.61,-0.0057,391174,7.07,15.03,90.79,0.0131,15.00%,53.40%,20.60%,1.57,388.55M,231.92M,0.006,-,0.457,0.004,0.0228,5.87,-0.0048,0.0198,0.1344,0.1259,0.2102,0.238,0.0222,0.0155,3.1,0.95,0.93,-0.0005,0.0225,0.1167,-0.0687,0.272,51.34,55.61
65,BHF,Brighthouse Financial Inc.,Financial,Life Insurance,USA,6.88B,-,57.82,-0.0238,1463337,1.63,0.42,1.55,-,-,-,-16.70%,0.18,118.95M,0.08M,0.9994,0,0.212,-,-,-,-0.0913,-0.0454,-0.0632,-,-,-0.174,0.0289,0.0195,3.1,-,1.45,-0.0573,-0.0179,-0.0402,-0.2291,0.0961,38.3,57.82
66,BHGE,Baker Hughes a GE company,Basic Materials,Oil & Gas Equipment & Services,USA,34.15B,-,31.18,-0.0032,4538686,2.46,1.08,8.26,0.0218,-2.80%,-4.10%,-16.80%,0.24,1.10B,1.10B,0.002,0.0007,0.969,-0.0004,0.0074,2.59,-0.0038,-0.1453,-0.0978,-0.2475,-0.1893,-0.3111,0.0233,0.0286,2.5,0.81,0.88,-0.0503,-0.098,-0.1869,-0.3474,0.0527,35.33,31.18
67,BIIB,Biogen Inc.,Healthcare,Biotechnology,USA,66.41B,19.26,314.14,0.0153,826327,5.61,5.16,18.93,-,15.70%,29.00%,21.00%,0.51,211.41M,210.68M,0.001,-0.0613,0.909,0.0006,0.0155,2.44,0.0208,-0.0386,0.0795,0.2063,0.247,0.2027,0.0271,0.0241,2.1,0.71,8.57,-0.0372,-0.0162,0.1028,-0.0995,0.286,43.41,314.14
68,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,53.11B,15.07,51.33,-0.0014,5563852,12.98,1.46,0.42,0.0187,1.00%,9.60%,3.30%,0.76,1.03B,1.02B,0.002,-0.8892,0.848,0.0045,0.0127,3.38,-0.0155,-0.057,-0.0443,0.0766,0.1926,0.0834,0.0103,0.014,2.8,1.22,0.73,-0.0356,-0.0249,0.0338,-0.0716,0.2006,38.82,51.33
69,BLK,BlackRock Inc.,Financial,Asset Management,USA,76.86B,22.43,479.11,0.0088,435634,6.45,2.63,13.77,0.0209,1.50%,11.60%,9.60%,0.17,160.42M,155.00M,0.017,-0.0033,0.878,-0.0004,0.0094,3.01,0.0084,0.0316,0.1198,0.253,0.4044,0.259,0.0118,0.0145,2,1.82,6.63,0.013,0.0715,0.1622,-0.0218,0.4145,68.78,479.11
70,BLL,Ball Corporation,Consumer Goods,Packaging & Containers,USA,14.67B,68.89,41.75,-0.0012,2866574,1.38,4.07,33.89,0.0096,1.30%,6.10%,5.40%,2.09,351.46M,348.91M,0.004,-0.1285,0.897,0.0006,0.0689,11.31,-0.0238,-0.0067,0.0141,0.0489,0.0672,0.1123,0.0231,0.0134,2.2,0.99,0.63,-0.0152,0.0115,0.0513,-0.0345,0.1713,45.38,41.75
71,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - Major,USA,103.76B,24.48,62.22,-0.0002,3327316,5.04,6.9,14.57,0.0251,12.60%,28.20%,19.80%,0.57,1.67B,1.62B,0.0016,-0.0013,0.703,0.0011,0.0058,1.61,0.038,-0.0248,0.1052,0.1325,0.2392,0.0647,0.0161,0.018,2.5,1.18,1.13,-0.0199,-0.0064,0.0975,-0.0587,0.3523,45.2,62.22
72,BRK-B,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,461.99B,21.18,187.27,-0.0071,2156162,1.98,0,-,-,-,-,-,-,2.47B,1.18B,-,-,-,-,0.0091,3.54,-0.007,0.0008,0.0518,0.1348,0.3037,0.149,0.0093,0.0083,2.2,-,1.68,-0.0037,0.0194,0.0842,-0.0179,0.3156,56.41,187.27
73,BSX,Boston Scientific Corporation,Healthcare,Medical Appliances & Equipment,USA,38.66B,45.97,27.86,0.0153,7180967,4.38,5.28,198.24,-,2.40%,6.30%,5.10%,0.81,1.39B,1.36B,0.001,-0.3411,0.942,0.0004,0.0101,2.76,-0.0225,-0.0533,0.0411,0.0557,0.2934,0.288,0.0193,0.014,1.8,1.02,0.45,-0.0419,-0.0291,0.0431,-0.0692,0.4164,35.1,27.86
74,BWA,BorgWarner Inc.,Consumer Goods,Auto Parts,USA,11.29B,38.3,52.97,0.0013,1731661,1.19,2.91,27.24,0.0106,3.20%,8.30%,3.60%,0.63,213.06M,209.81M,0.003,-0.0286,-,0.0139,0.0601,7.72,0.0019,0.0175,0.1391,0.273,0.5475,0.3431,0.013,0.0161,2.7,1.75,0.95,0.0145,0.0629,0.1969,-0.0162,0.6007,62.99,52.97
75,BXP,Boston Properties Inc.,Financial,REIT - Office,USA,18.63B,40.91,120.68,-0.017,1067619,7.3,3.31,37.84,0.0249,2.40%,8.20%,5.40%,1.82,154.38M,153.40M,0.006,0,0.991,0.0018,0.0219,5.49,-0.0045,-0.035,-0.0169,-0.0232,0.0579,-0.0405,0.0156,0.0139,2.6,0.65,1.78,-0.0309,-0.0166,-0.044,-0.1388,0.0615,39.28,120.68
76,C,Citigroup Inc.,Financial,Money Center Banks,USA,201.54B,14.27,74.05,-0.0092,10685452,3.37,0.96,0.3,0.0173,0.80%,6.70%,8.20%,0.97,2.72B,2.70B,0.0008,0,0.791,0.0033,0.011,1.96,0.0024,-0.0221,0.0726,0.224,0.5366,0.246,0.0118,0.0145,2.3,1.57,1.08,0.0046,0.0359,0.149,-0.0274,0.5524,59.67,74.05
77,CA,CA Inc.,Technology,Business Software & Services,USA,13.65B,18.84,32.65,0.0074,2350985,3.35,2.28,4.84,0.0312,5.90%,12.40%,9.90%,0.47,418.19M,321.66M,0.002,-0.2901,0.707,-0.0059,0.0269,4.31,-0.0067,-0.038,0.0102,0.0102,0.0635,0.0277,0.0155,0.0146,3.1,0.74,0.54,-0.0251,-0.0182,0.0005,-0.1065,0.088,41.84,32.65
78,CAG,Conagra Brands Inc.,Consumer Goods,Processed & Packaged Goods,USA,14.08B,24.48,33.91,0.0015,1731437,1.82,3.71,54.81,0.0251,5.70%,14.70%,9.60%,0.87,415.10M,407.85M,0.003,-0.1401,0.831,0.0015,0.0395,4.44,0.0065,-0.0056,-0.0076,-0.0993,-0.0744,-0.1426,0.0159,0.0146,2.4,0.31,0.55,-0.0019,0.0024,-0.0841,-0.1864,0.0544,48.96,33.91
79,CAH,Cardinal Health Inc.,Services,Drugs Wholesale,USA,20.20B,15.23,61.38,0.0051,4167137,0.16,2.83,2.94,0.0301,3.60%,19.60%,8.70%,1.53,329.14M,314.01M,0.004,-0.0174,0.902,-0.0088,0.0366,4.61,-0.0102,-0.0925,-0.1135,-0.1476,-0.0612,-0.1471,0.0297,0.0259,2.8,0.91,1.64,-0.0518,-0.0756,-0.168,-0.2769,0.0174,31.67,61.38
80,CAT,Caterpillar Inc.,Industrial Goods,Farm & Construction Machinery,USA,80.64B,95.15,136.63,0.0012,2105216,1.91,5.76,7.88,0.0228,-0.20%,-1.00%,0.60%,2.65,590.20M,590.05M,0.0016,-0.2432,0.713,0.0018,0.0258,4.44,-0.0086,0.0809,0.1911,0.375,0.6812,0.4733,0.0098,0.0118,2.5,1.28,1.72,0.0296,0.0861,0.2675,-0.0271,0.6954,73.15,136.63
81,CBG,CBRE Group Inc.,Financial,Property Management,USA,13.56B,19.51,39.9,0.0176,3541307,1.02,3.8,-,-,6.60%,21.90%,7.60%,1.02,339.82M,334.75M,0.008,-0.83,0.971,-0.0142,0.0258,5.45,0.0135,0.0297,0.0646,0.0983,0.5311,0.2671,0.0158,0.0129,1.9,1.84,0.55,0.0123,0.0527,0.1159,-0.011,0.5495,65.4,39.9
82,CBOE,Cboe Global Markets Inc.,Financial,Diversified Investments,USA,12.92B,63.51,115.02,-0.0048,581696,9.73,4.58,49.88,0.0094,5.80%,10.90%,55.80%,0.5,112.31M,111.65M,0.003,-0.6522,0.852,0.0018,0.0636,7.14,0.0274,0.0608,0.2153,0.3982,0.826,0.5566,0.0138,0.0127,2.6,0.49,1.51,0.0407,0.0753,0.2656,-0.0062,0.835,72.51,115.02
83,CBS,CBS Corporation,Services,Entertainment - Diversified,USA,22.38B,15.54,55.4,0.0173,15147575,1.77,8.54,131.67,0.013,0.70%,4.70%,15.30%,3.5,404.03M,358.79M,0.005,-0.4622,0.877,-0.0024,0.0345,3.49,-0.0238,-0.0594,-0.1414,-0.1258,-0.0018,-0.1292,0.0305,0.0217,2.1,1.64,1.36,-0.0283,-0.0605,-0.1272,-0.2096,0.0259,39.05,55.4
84,CCE,Coca-Cola European Partners plc,Consumer Goods,Beverages - Soft Drinks,USA,19.28B,21.23,39.93,0.0081,714658,1.5,2.54,54.08,0.0253,4.20%,12.00%,5.30%,0.96,482.80M,215.52M,0.0063,0,0.349,0.0194,0.0068,1.34,-0.0225,-0.0304,-0.0831,-0.004,0.0307,0.2717,0.0168,0.0127,2.4,0.96,0.57,-0.034,-0.0426,0.0063,-0.1077,0.307,33.52,39.93
85,CCI,Crown Castle International Corp.,Technology,Diversified Communication Services,USA,43.27B,88.39,106.51,0.0013,1613547,10.43,5.12,216.67,0.0394,1.70%,5.60%,4.50%,1.82,406.24M,404.89M,0.001,0.0096,0.855,-0.0035,0.0274,4.84,0.0322,0.0486,0.053,0.1169,0.2149,0.2275,0.0321,0.0201,2.2,0.22,2.1,0.0298,0.0266,0.0859,-0.0375,0.3418,59.49,106.51
86,CCL,Carnival Corporation,Services,Resorts & Casinos,USA,46.69B,17.82,65.43,0.0035,1719060,2.72,1.96,95.48,0.0275,6.70%,11.60%,9.40%,0.38,713.57M,405.84M,0.001,-0.1449,0.82,0.0217,0.0197,2.34,-0.0265,-0.0073,-0.0378,0.043,0.3541,0.2568,0.0201,0.0156,2.1,0.74,1.13,-0.0168,-0.0146,0.0425,-0.0638,0.3633,46.49,65.43
87,CDNS,Cadence Design Systems Inc.,Technology,Application Software,USA,12.20B,51.29,43.9,0.0025,1359035,6.52,12.54,18.5,-,11.00%,27.80%,14.70%,0.68,277.86M,277.11M,0.006,-0.3268,0.914,0.0402,0.0237,2.17,0.019,0.0869,0.1985,0.3372,0.7709,0.7407,0.013,0.0143,2.6,0.92,0.6,0.0416,0.0978,0.2687,0.0014,0.8178,80.22,43.9
88,CELG,Celgene Corporation,Healthcare,Biotechnology,USA,79.72B,23.57,100.04,0.0187,7142213,6.38,7.96,6.78,-,13.30%,48.70%,11.70%,1.45,796.85M,780.42M,0.002,-0.148,0.816,0.0003,0.013,1.67,0.019,-0.2855,-0.2701,-0.1548,-0.0226,-0.1357,0.0315,0.0263,2,1.84,4.43,-0.1879,-0.2519,-0.2108,-0.3202,0.058,19.12,100.04
89,CERN,Cerner Corporation,Technology,Healthcare Information Services,USA,23.69B,33.05,65.43,-0.0006,1865542,4.74,4.97,37.19,-,11.30%,15.80%,14.00%,0.12,362.10M,315.64M,0.005,-0.3729,0.812,0.0005,0.0426,6.18,0.0018,-0.0857,0.0323,0.0127,0.239,0.3813,0.025,0.0172,2.2,0.96,1.58,-0.0736,-0.0631,0.0339,-0.1141,0.3918,31.78,65.43
90,CF,CF Industries Holdings Inc.,Basic Materials,Agricultural Chemicals,USA,9.09B,-,38.6,0.0013,3506301,2.45,2.76,4.54,0.0311,-2.40%,-10.80%,0.40%,1.77,235.38M,232.38M,0.002,-0.0134,0.3534,-0.019,0.1178,6.87,0.0402,0.1019,0.2089,0.3905,0.708,0.2262,0.0307,0.026,2.6,1.15,1.02,0.0535,0.1245,0.2496,-0.0113,0.7403,71.31,38.6
91,CFG,Citizens Financial Group Inc.,Financial,Regional - Mid-Atlantic Banks,USA,19.47B,15.74,38.82,0.0021,2949547,4.1,0.99,3.3,0.0185,0.80%,5.70%,9.00%,0.66,501.45M,499.39M,0.001,0,0.997,-0.0016,0.0249,2.7,0.0096,0.0455,0.0982,0.0391,0.4777,0.0895,0.0176,0.0176,2.4,-,0.71,0.0271,0.0744,0.082,-0.0234,0.4945,69.52,38.82
92,CHD,Church & Dwight Co. Inc.,Consumer Goods,Cleaning Products,USA,11.06B,26.02,43.92,-0.0332,2914329,3.12,5.94,46.57,0.0173,9.90%,22.30%,15.40%,0.82,251.93M,248.88M,0.001,-0.4406,0.825,0.0024,0.0302,4.75,-0.0309,-0.0837,-0.1267,-0.1324,-0.0045,-0.0061,0.0293,0.0178,3,0.54,0.91,-0.0572,-0.0881,-0.1192,-0.1894,0.0321,28.63,43.92
93,CHK,Chesapeake Energy Corporation,Basic Materials,Independent Oil & Gas,USA,3.40B,-,3.74,0.0219,29058247,0.36,-,261.22,-,-13.20%,49.30%,-56.90%,-,908.00M,899.92M,0.01,0.0157,0.674,0.0031,0.1993,6.1,-0.008,-0.1302,-0.1402,-0.3261,-0.3074,-0.4672,0.0472,0.0455,3.1,2.19,0.18,-0.0217,-0.0482,-0.2488,-0.5439,0.0968,45.89,3.74
94,CHRW,C.H. Robinson Worldwide Inc.,Services,Air Delivery & Freight Services,USA,11.12B,23.31,79.44,-0.0014,2348559,0.8,8.38,40.7,0.0227,12.80%,37.40%,21.90%,1.06,139.98M,138.62M,0.006,-0.0014,0.95,-0.0077,0.1381,10.84,-0.0048,0.0446,0.1939,0.1117,0.1523,0.0844,0.0257,0.0205,2.9,0.46,1.66,0.0196,0.0601,0.0901,-0.0235,0.2528,62.3,79.44
95,CHTR,Charter Communications Inc.,Services,CATV Systems,USA,94.95B,108.8,335.43,-0.0066,2226149,2.3,2.56,43.88,-,0.50%,2.10%,6.10%,2.05,283.08M,233.69M,0.2485,-0.0002,0.777,0.0007,0.0295,3.43,0.049,-0.0927,-0.1197,0.0359,0.3557,0.165,0.0341,0.0252,-,1.1,9.52,-0.035,-0.082,-0.0286,-0.1795,0.3889,38.02,335.43
96,CI,Cigna Corporation,Healthcare,Health Care Plans,USA,50.03B,23.27,201.9,0.0177,1238186,1.23,3.53,13.86,0.0002,3.70%,15.90%,9.80%,0.33,247.80M,245.42M,0.003,-0.2664,0.912,0.0038,0.0149,2.74,-0.0002,0.0588,0.1473,0.2482,0.7211,0.5136,0.0235,0.0181,1.9,0.48,3.75,0.0504,0.0767,0.2098,-0.0187,0.724,69.78,201.9
97,CINF,Cincinnati Financial Corporation,Financial,Property & Casualty Insurance,USA,12.74B,23.97,72.57,0.0001,813209,2.26,1.58,18.9,0.0276,2.40%,6.90%,8.10%,0.11,175.50M,114.75M,0.001,0.0127,0.65,-0.0037,0.0311,7.18,0.0217,-0.0623,-0.0919,0.0379,0.0516,-0.042,0.0166,0.0163,3,0.96,1.24,-0.0321,-0.0426,-0.0117,-0.1148,0.0655,41,72.57
98,CL,Colgate-Palmolive Company,Consumer Goods,Personal Products,USA,62.50B,26.11,70.15,-0.0111,2506150,4.12,-,-,0.0228,18.50%,-,42.70%,-,890.98M,877.73M,0.003,-0.1038,0.762,0.0022,0.0071,2.04,-0.0036,-0.0418,-0.0222,-0.0235,-0.006,0.072,0.016,0.0134,2.8,0.8,1.04,-0.0342,-0.0295,-0.0328,-0.0921,0.1059,38.64,70.15
99,CLX,The Clorox Company,Consumer Goods,Housewares & Accessories,USA,16.64B,23.99,128.11,-0.0091,1087952,2.79,30.5,39.82,0.0262,15.40%,186.30%,25.70%,4.05,129.91M,128.97M,0.002,-0.0756,0.743,0.0035,0.0463,6.93,0.0085,-0.0066,-0.0545,-0.0288,0.1167,0.0674,0.0264,0.0162,2.9,0.39,2.5,-0.0062,-0.0302,-0.0385,-0.0963,0.1517,45.2,128.11
100,CMA,Comerica Incorporated,Financial,Money Center Banks,USA,13.89B,18.09,79.75,0.0039,1584339,6.65,1.75,2.43,0.015,0.80%,7.80%,10.50%,0.64,174.15M,173.01M,0.006,-0.0406,0.874,0.0025,0.0191,2.1,-0.0005,0.0357,0.0861,0.109,0.5795,0.1709,0.0169,0.0165,2.7,1.51,1.35,0.0269,0.0824,0.1157,-0.0062,0.6011,69.1,79.75
101,CMCSA,Comcast Corporation,Services,Entertainment - Diversified,USA,165.80B,16.84,35.68,0.0151,30164060,1.98,3.02,-,0.0177,5.50%,18.30%,10.00%,1.17,4.65B,4.27B,0.001,-0.056,0.844,-0.0002,0.0154,2.82,-0.0302,-0.0696,-0.0992,-0.0898,0.1708,0.0335,0.0217,0.0215,1.7,1.03,0.83,-0.0264,-0.0583,-0.0762,-0.1541,0.1885,39.45,35.68
102,CME,CME Group Inc.,Financial,Investment Brokerage - National,USA,47.28B,31.79,140.06,-0.0017,1720305,12.93,2.28,32.68,0.0188,2.20%,7.60%,6.40%,0.11,337.56M,337.56M,0.004,-0.0702,0.856,0.0057,0.0135,3.91,0.0182,0.0148,0.1207,0.1961,0.3973,0.2142,0.0176,0.0146,2.1,0.71,2.09,0.0256,0.051,0.1279,-0.0036,0.4156,66.67,140.06
103,CMG,Chipotle Mexican Grill Inc.,Services,Restaurants,USA,7.87B,53.06,273.53,-0.0212,1188051,1.79,5.6,14.35,-,7.20%,10.50%,1.30%,0,28.78M,28.08M,0.003,0,0.921,-0.0071,0.1974,3.88,-0.0094,-0.1186,-0.1942,-0.4194,-0.27,-0.2751,0.0298,0.03,2.9,0.46,10.47,-0.0976,-0.1111,-0.3032,-0.4518,0.0326,36.53,273.53
104,CMI,Cummins Inc.,Industrial Goods,Diversified Machinery,USA,28.95B,19.56,173.07,-0.0013,1464965,1.58,3.86,19.74,0.025,9.60%,20.90%,16.70%,0.24,167.30M,167.20M,0.002,-0.2171,0.838,0.0106,0.0228,3.22,-0.0358,0.0079,0.0815,0.1074,0.4215,0.2663,0.0249,0.0142,-,1.15,2.78,-0.0122,0.0273,0.0932,-0.048,0.4277,49.08,173.07
105,CMS,CMS Energy Corporation,Utilities,Electric Utilities,USA,13.51B,24.99,48.13,0.0002,2281146,2.1,2.98,95.18,0.0276,2.50%,12.30%,7.20%,2.28,280.80M,280.77M,0.004,-0.0826,0.915,0.0151,0.0226,3.6,-0.0015,0.0344,0.0199,0.0583,0.1693,0.1564,0.0129,0.0113,2.5,0.17,0.57,0.0081,0.01,0.0453,-0.02,0.2411,54.1,48.13
106,CNC,Centene Corporation,Healthcare,Health Care Plans,USA,16.57B,19.86,96.03,0.0023,853667,0.35,2.49,3.87,-,4.00%,13.80%,6.30%,0.71,172.51M,167.31M,0.031,-0.0152,0.967,0.0124,0.0341,3.33,0.0172,-0.0136,0.1626,0.2671,0.5831,0.6993,0.0255,0.0315,1.9,0.67,2.95,0.017,0.035,0.2104,-0.0272,0.9206,55.34,96.03
107,CNP,CenterPoint Energy Inc.,Utilities,Gas Utilities,USA,12.75B,21.15,29.59,-0.005,3003782,1.44,3.58,10.06,0.0362,2.80%,17.30%,5.50%,2.65,431.00M,430.20M,0.002,-0.0069,0.813,0.0176,0.0176,2.7,-0.0054,0.0182,0.0296,0.0617,0.3128,0.2009,0.0206,0.014,2.8,0.64,0.45,0.0039,0.0008,0.0496,-0.0282,0.3438,50.8,29.59
108,COF,Capital One Financial Corporation,Financial,Credit Services,USA,44.18B,12.84,91.6,-0.0092,2052020,1.79,0.9,6.58,0.0175,0.90%,6.80%,14.00%,0.95,482.34M,479.78M,0.006,-0.1238,0.893,-0.0052,0.0136,2.8,-0.0127,0.0518,0.0757,0.1154,0.2666,0.05,0.0143,0.0146,2.4,1.29,1.34,0.0296,0.084,0.0838,-0.0549,0.2738,68.69,91.6
109,COG,Cabot Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,USA,13.12B,-,28.23,-0.0011,6105712,8.17,4.97,25.4,0.0071,-4.90%,-9.70%,-8.00%,0,464.77M,455.65M,0.003,-0.0097,0.984,0.0041,0.0356,3.16,0.0553,0.0697,0.1584,0.1906,0.4017,0.2085,0.0211,0.0231,2.2,0.5,0.6,0.0873,0.08,0.1632,-0.0021,0.4101,69.91,28.23
110,COH,Coach Inc.,Consumer Goods,Textile - Apparel Footwear & Accessories,USA,11.37B,19.09,39.9,0,0,2.53,3.75,3.69,0.0338,12.00%,20.70%,13.50%,0.53,284.91M,283.61M,0.002,-0.0764,0.896,0.0078,0.0336,2.6,0.0025,-0.0094,-0.1651,-0.0753,0.117,0.1393,0.0139,0.0176,2.2,0.47,0.69,0.0027,-0.0131,-0.0491,-0.1832,0.168,47.52,39.9
111,COL,Rockwell Collins Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,22.05B,26.82,135.93,-0.0007,1280786,3.63,3.84,38.14,0.0097,6.70%,22.80%,18.40%,1.39,162.18M,161.97M,0.002,-0.0373,0.799,-0.0319,0.027,1.61,0.0047,0.0228,0.0697,0.3065,0.6561,0.4654,0.0059,0.0054,2.9,0.71,0.77,0.0084,0.0271,0.228,-0.0042,0.6759,74.09,135.93
112,COO,The Cooper Companies Inc.,Healthcare,Medical Instruments & Supplies,USA,11.21B,32.91,229.27,0.0104,426530,5.35,3.62,243.72,0.0003,7.40%,11.90%,7.50%,0.39,48.90M,48.57M,0.002,-0.4217,0.983,-0.0068,0.0243,2.48,-0.062,-0.0513,-0.0628,0.1108,0.3204,0.3106,0.0225,0.0163,1.9,0.55,4.21,-0.034,-0.0464,0.032,-0.1058,0.4444,38.38,229.27
113,COP,ConocoPhillips,Basic Materials,Independent Oil & Gas,USA,64.76B,-,52.96,0.0091,8020094,2.31,2.16,6.31,0.02,-1.80%,-4.60%,-3.80%,0.77,1.22B,1.22B,0.0009,-0.0084,0.709,0.0001,0.0264,5.37,0.0342,0.0656,0.1725,0.1237,0.2147,0.0562,0.0176,0.0182,2,1.21,0.98,0.053,0.1006,0.1311,-0.0039,0.253,74.11,52.96
114,COST,Costco Wholesale Corporation,Services,Discount Variety Stores,USA,72.77B,27.37,166.44,0.009,3112615,0.56,6.76,12.59,0.012,7.40%,23.80%,16.00%,0.62,437.20M,434.07M,0.004,-0.0246,0.746,-0.0005,0.035,4.64,0.025,-0.0038,0.0605,-0.0359,0.1988,0.0815,0.0152,0.0142,2.1,0.94,2.46,0.041,0.0393,0.022,-0.0891,0.2185,64.5,166.44
115,CPB,Campbell Soup Company,Consumer Goods,Processed & Packaged Goods,USA,13.79B,16.08,46.48,-0.0079,1086500,1.75,8.58,43.23,0.0301,11.50%,57.40%,19.20%,2.16,296.72M,174.48M,0.003,0.0022,0.468,0.0134,0.1175,8.19,-0.0343,-0.0024,-0.127,-0.1965,-0.1185,-0.2314,0.0248,0.0205,3.2,0.38,0.97,0.0012,-0.0142,-0.1464,-0.2764,0.033,48.43,46.48
116,CRM,Salesforce.com inc.,Technology,Application Software,USA,73.34B,-,102.71,0.0011,3262220,7.81,8.65,20.95,-,-0.50%,-1.00%,2.10%,0.31,714.06M,682.22M,0.001,-0.7504,0.883,0.0005,0.0258,4.42,0.02,0.0729,0.1349,0.1825,0.3854,0.5003,0.0164,0.0132,1.9,1.23,1.37,0.0432,0.0661,0.161,-0.0116,0.5461,74.8,102.71
117,CSCO,Cisco Systems Inc.,Technology,Networking & Communication Devices,USA,172.18B,18.09,34.47,0.0076,13358685,3.59,2.6,2.44,0.0337,7.60%,14.90%,9.30%,0.51,5.00B,4.95B,0.001,-0.15,0.775,-0.0017,0.0103,2.6,0.0012,0.0262,0.0826,0.0052,0.1369,0.1406,0.0132,0.0113,2,1.16,0.43,0.0153,0.041,0.0573,-0.0081,0.1837,61.59,34.47
118,CSRA,CSRA Inc.,Technology,Information Technology Services,USA,5.17B,16.33,31.34,-0.0166,790957,1.04,13.51,26.64,0.0128,6.50%,106.30%,10.10%,7.56,164.92M,162.53M,0.002,0.0025,0.971,0.0039,0.0189,2.95,-0.007,-0.0089,-0.0303,0.0574,0.2143,-0.0157,0.0158,0.0137,2.3,-,0.47,-0.0071,-0.0138,0.0127,-0.0692,0.2319,42.79,31.34
119,CSX,CSX Corporation,Services,Railroads,USA,45.69B,26.46,51.31,-0.006,3937676,3.95,4.25,64.9,0.0156,5.00%,15.60%,9.80%,1.08,890.49M,848.60M,0.001,1.5239,0.733,-0.0024,0.0218,3.1,-0.0234,-0.0199,0.0341,-0.0097,0.6482,0.4281,0.0229,0.0219,2.1,1.35,1.14,-0.0286,-0.0155,0.0136,-0.0751,0.6746,43.41,51.31
120,CTAS,Cintas Corporation,Services,Business Services,USA,15.77B,34.02,148.37,0.0056,375887,2.8,6.11,74.05,0.0109,9.90%,24.30%,10.00%,1.11,106.30M,90.54M,0.012,-0.0022,0.683,0.0041,0.0412,6.72,-0.021,0.0024,0.1035,0.2271,0.4406,0.2839,0.0143,0.0103,2.6,0.85,1.75,-0.0135,0.0413,0.1509,-0.0292,0.4536,53.83,148.37
121,CTL,CenturyLink Inc.,Technology,Telecom Services - Domestic,USA,9.53B,23.69,16.37,-0.0624,16915178,0.56,0.68,27.86,0.1319,0.80%,2.80%,5.90%,1.92,582.00M,545.14M,0.007,0,0.85,-0.0046,0.2236,10,-0.0635,-0.1823,-0.2672,-0.3399,-0.2883,-0.3116,0.0621,0.0361,2.7,0.87,0.71,-0.1407,-0.148,-0.2849,-0.4071,-0.0407,31.47,16.37
122,CTSH,Cognizant Technology Solutions Corporation,Technology,Business Software & Services,USA,43.75B,23.78,74.27,-0.0012,3792398,3.1,4.17,9.99,0.0081,13.60%,18.20%,12.80%,0.09,589.00M,587.43M,0.003,-0.2111,0.919,-0.0024,0.014,2.79,-0.0149,0.0146,0.0673,0.1554,0.4379,0.3255,0.0244,0.0136,2.1,1.1,1.16,-0.0011,0.0219,0.1351,-0.0293,0.4463,52.89,74.27
123,CTXS,Citrix Systems Inc.,Technology,Business Software & Services,USA,12.84B,26.33,84.9,0.0308,2873144,4.34,6.82,9.47,-,8.30%,22.40%,14.10%,0.74,151.21M,150.50M,0.01,0,0.96,-0.0032,0.0393,3.87,0.0266,0.0655,0.0819,-0.0263,0.2776,0.1938,0.0173,0.0166,2.7,1.39,1.6,0.036,0.0771,0.0592,-0.0351,0.295,71.28,84.9
124,CVS,CVS Health Corporation,Healthcare,Health Care Plans,USA,74.81B,13.8,69.25,-0.0019,9878211,0.41,2.07,34.49,0.0289,5.70%,15.00%,9.90%,0.78,1.08B,1.01B,0.001,-0.4777,0.846,0.002,0.0211,3.22,0.0038,-0.144,-0.1247,-0.1456,-0.151,-0.1224,0.0185,0.0289,2.2,0.89,1.89,-0.0524,-0.1033,-0.1182,-0.1842,0.0182,30.4,69.25
125,CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,USA,227.31B,37.3,114.99,-0.0029,4100354,1.84,1.48,47.6,0.0376,2.30%,4.00%,-1.40%,0.29,1.98B,1.89B,0.0005,-0.0854,0.648,0.0028,0.0143,5.36,0.0128,-0.0303,0.0475,0.0779,0.0911,-0.023,0.0162,0.0123,2.1,1.23,1.61,-0.0241,-0.0027,0.0484,-0.0488,0.1213,42.62,114.99
